# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
a a 	啊啊	c=11 d=1.00005 t=9256
a a a 	啊啊啊	c=6 d=1.7298 t=4756
a a a a 	啊啊啊啊	c=1 d=1 t=2258
a ba 	阿巴	c=2 d=0.0376527 t=12432
a san 	阿三	c=1 d=1 t=8152
ai 	唉	c=2 d=1.73345 t=9283
ai 	愛	c=2 d=0.423162 t=12432
ai qing 	愛情	c=2 d=0.0319048 t=12432
ai zheng 	捱整	c=1 d=1 t=10139
ai zheng 	癌症	c=1 d=1 t=10140
ai zi bing 	艾滋病	c=1 d=1 t=5052
an 	安	c=13 d=1.10222 t=12432
an 	按	c=1 d=1 t=2744
an 	暗	c=3 d=1.00841 t=4005
an 	案	c=1 d=1 t=10077
an hei 	暗黑	c=1 d=0.484325 t=12432
an quan 	安全	c=3 d=1.05723 t=12432
an se 	暗色	c=1 d=1 t=2667
an tu tu 	安兔兔	c=2 d=1.43605 t=3341
an wang 	暗網	c=2 d=1.9802 t=7838
an zhao 	按照	c=2 d=1.38528 t=4907
an zhe ge 	安這個	c=1 d=1 t=10978
an zhuang 	安裝	c=10 d=0.501116 t=12432
an zhuo 	安卓	c=5 d=0.425283 t=12432
ang 	昂	c=1 d=1 t=3655
ao ye 	熬夜	c=1 d=1 t=9907
ba 	八	c=1 d=1 t=2972
ba 	吧	c=57 d=1.66894 t=12432
ba 	巴	c=1 d=1 t=9195
ba 	把	c=23 d=0.83326 t=12432
ba ba 	爸爸	c=1 d=0.32628 t=12432
ba le 	罷了	c=3 d=1 t=6749
ba ni 	把你	c=2 d=1 t=11060
ba ta 	把它	c=1 d=1 t=2489
ba ta lia 	把他倆	c=1 d=1 t=7120
ba zi ji 	把自己	c=1 d=1 t=7030
bai bai 	拜拜	c=3 d=0.618783 t=12432
bai du 	拜讀	c=1 d=1 t=8457
bai du 	百度	c=4 d=0.177284 t=12432
bai du a 	百度啊	c=1 d=0.163654 t=12432
bai hai 	百害	c=1 d=1 t=6360
bai kong 	百孔	c=1 d=1 t=6962
